Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.4189385,-0.14846027,599.0,-16.794711112976074,-16.794711112976074,1.0
2000,1.4189383,-0.33025867,599.0,-15.337509870529175,-15.337509870529175,1.0
3000,1.4191091,-0.61834913,599.0,-17.993447363376617,-17.993447363376617,1.0
4000,1.419096,-0.43042442,599.0,-18.1069475710392,-18.1069475710392,1.0
5000,1.4170734,-0.49586883,599.0,-18.3655868768692,-18.3655868768692,1.0
6000,1.4169368,-0.40911567,599.0,2.916356921195984,2.916356921195984,1.0
7000,1.4155967,-1.0033019,599.0,-15.586307018995285,-15.586307018995285,1.0
8000,1.4151152,-0.9310628,599.0,-29.674794912338257,-29.674794912338257,1.0
9000,1.4154572,-0.7517454,397.0,-6.500039567550023,-6.500039567550023,1.0
10000,1.4155852,-1.103183,599.0,-22.702608585357666,-22.702608585357666,1.0
11000,1.4158282,-1.2993138,424.6666666666667,-15.093362629413605,-15.093362629413605,1.0
12000,1.4159452,-1.2090759,599.0,-16.601334750652313,-16.601334750652313,1.0
13000,1.4165089,-0.72175753,599.0,-20.7960125207901,-20.7960125207901,1.0
14000,1.4173057,-1.2022965,599.0,-12.666949778795242,-12.666949778795242,1.0
15000,1.417811,-1.2165353,599.0,-13.470206379890442,-13.470206379890442,1.0
16000,1.4189533,-1.1261241,420.5,-7.469686711827914,-7.469686711827914,1.0
17000,1.4188728,-1.0673286,368.0,-5.1502602100372314,-5.1502602100372314,1.0
18000,1.4184253,-0.8834245,424.6666666666667,-4.057657241821289,-4.057657241821289,1.0
19000,1.4182535,-0.57121336,599.0,-6.713372588157654,-6.713372588157654,1.0
20000,1.4159833,-0.72129095,445.6666666666667,3.893208662668864,3.893208662668864,1.0
21000,1.4159063,-0.5719522,591.0,-2.276524543762207,-2.276524543762207,1.0
22000,1.414589,-0.6449919,471.5,-2.6436961889266968,-2.6436961889266968,1.0
23000,1.414589,-0.404245,599.0,-9.200008630752563,-9.200008630752563,1.0
24000,1.4138424,-0.7296157,254.5,9.21723648533225,9.21723648533225,1.0
25000,1.4138086,-0.7246744,331.0,3.7540770967801413,3.7540770967801413,1.0
26000,1.4133464,-0.5045632,320.6666666666667,4.8873701095581055,4.8873701095581055,1.0
27000,1.4131671,-0.83097935,354.5,1.3486721913019817,1.3486721913019817,1.0
28000,1.4104084,-0.82769024,369.0,-0.11149104436238606,-0.11149104436238606,1.0
29000,1.4085974,-0.5781958,454.6666666666667,2.2232674583792686,2.2232674583792686,1.0
30000,1.4071832,-0.25939178,230.5,5.570788100361824,5.570788100361824,1.0
31000,1.4060078,-0.15699533,455.5,1.3454589049021404,1.3454589049021404,1.0
32000,1.4054849,0.2147577,169.0,7.820809344450633,7.820809344450633,1.0
33000,1.4048359,0.19159715,262.5,5.241776655117671,5.241776655117671,1.0
34000,1.4046851,0.22995627,205.6,9.069756519794463,9.069756519794463,1.0
35000,1.40421,0.40886167,132.66666666666666,9.133544755833489,9.133544755833489,1.0
36000,1.4036736,0.6602538,156.33333333333334,13.116747170686722,13.116747170686722,1.0
37000,1.4014733,0.465247,205.8,10.41816692352295,10.41816692352295,1.0
