Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.4189385,0.017211962,599.0,-14.23811399936676,-14.23811399936676,1.0
2000,1.4189383,0.17160717,599.0,-14.92930656671524,-14.92930656671524,1.0
3000,1.4172307,0.039916843,599.0,-15.133596181869507,-15.133596181869507,1.0
4000,1.4171963,-0.07958455,599.0,-21.129407227039337,-21.129407227039337,1.0
5000,1.4163857,-0.20049891,599.0,-22.340996608138084,-22.340996608138084,1.0
6000,1.4163679,-0.17080584,599.0,-27.52488547563553,-27.52488547563553,1.0
7000,1.4168797,-0.47423872,599.0,-11.060535117983818,-11.060535117983818,1.0
8000,1.4170512,-0.5909475,599.0,-22.22039571404457,-22.22039571404457,1.0
9000,1.4161899,-0.47300944,599.0,-30.648008346557617,-30.648008346557617,1.0
10000,1.4158349,-0.37477502,599.0,-16.838472723960876,-16.838472723960876,1.0
11000,1.4147073,-0.22584024,599.0,-9.38301768898964,-9.38301768898964,1.0
12000,1.4140167,-0.5386787,519.5,-9.413693249225616,-9.413693249225616,1.0
13000,1.4144374,-0.89458525,358.0,-11.513784885406494,-11.513784885406494,1.0
14000,1.4148477,-0.7581869,474.0,-8.254939019680023,-8.254939019680023,1.0
15000,1.4147321,-0.83424586,599.0,-16.15881396085024,-16.15881396085024,1.0
16000,1.4145635,-0.8064783,599.0,-10.092927724123001,-10.092927724123001,1.0
17000,1.4140632,-1.0616703,599.0,-13.834090828895569,-13.834090828895569,1.0
18000,1.4124703,-0.5754543,599.0,-18.48480911552906,-18.48480911552906,1.0
19000,1.4125797,-0.35021162,599.0,-15.648233294487,-15.648233294487,1.0
20000,1.4130436,-1.2754915,599.0,-16.744654178619385,-16.744654178619385,1.0
21000,1.4128935,-0.99919426,436.3333333333333,-8.325639893611273,-8.325639893611273,1.0
22000,1.4114972,-0.4303674,599.0,-12.363968789577484,-12.363968789577484,1.0
23000,1.411497,-0.67864317,599.0,-11.805575668811798,-11.805575668811798,1.0
24000,1.4105715,-0.95489645,448.3333333333333,-2.0454949537913003,-2.0454949537913003,1.0
25000,1.4105543,-0.96706617,599.0,-19.553083539009094,-19.553083539009094,1.0
26000,1.4108387,-0.47388285,599.0,-2.0737062469124794,-2.0737062469124794,1.0
27000,1.4108468,-0.6168712,554.5,-1.6162846982479095,-1.6162846982479095,1.0
28000,1.4105774,-0.84806037,599.0,-0.5499106645584106,-0.5499106645584106,1.0
29000,1.4105314,-1.5728269,400.5,-3.055072953303655,-3.055072953303655,1.0
30000,1.4102567,-0.4954515,501.5,2.071317821741104,2.071317821741104,1.0
31000,1.4101526,-1.0265402,460.0,-2.420801416039467,-2.420801416039467,1.0
32000,1.4095863,-0.8309363,442.5,-0.4684816896915436,-0.4684816896915436,1.0
33000,1.4093691,-1.1062744,536.0,6.680562287569046,6.680562287569046,1.0
34000,1.4090517,-0.7854607,371.5,3.375542163848877,3.375542163848877,1.0
35000,1.4087856,-0.44715267,599.0,1.3554621115326881,1.3554621115326881,1.0
36000,1.4083642,-0.7529619,420.0,7.155715733766556,7.155715733766556,1.0
37000,1.4079611,-0.3787784,396.0,0.9934576153755188,0.9934576153755188,1.0
38000,1.4077961,-0.082610816,441.5,6.036495693027973,6.036495693027973,1.0
39000,1.407501,-0.1433191,311.5,12.697616711258888,12.697616711258888,1.0
40000,1.4074193,-0.5458338,288.75,4.313076426585515,4.313076426585515,1.0
41000,1.4072417,-0.19123968,168.0,9.056007703145346,9.056007703145346,1.0
42000,1.4071194,-0.86209416,454.0,2.272729679942131,2.272729679942131,1.0
43000,1.4067,-0.08272129,287.5,7.414585441350937,7.414585441350937,1.0
44000,1.4066806,-0.46088323,302.6666666666667,10.987290461858114,10.987290461858114,1.0
45000,1.4065343,0.13475744,301.0,9.130185216665268,9.130185216665268,1.0
46000,1.4065342,-0.19109857,368.0,9.329212188720703,9.329212188720703,1.0
47000,1.4065284,0.37071735,380.3333333333333,11.356746117273966,11.356746117273966,1.0
48000,1.4065284,0.41962737,260.0,10.556037598848343,10.556037598848343,1.0
49000,1.4065764,0.22996056,176.5,8.178788077831268,8.178788077831268,1.0
50000,1.4065773,0.0073981415,459.0,7.472361207008362,7.472361207008362,1.0
