Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.4189383,313.5,-0.15908831,-1.9327374696731567,-1.9327374696731567,1.0
2000,1.4189385,599.0,-0.25220114,-24.747378826141357,-24.747378826141357,1.0
3000,1.4189383,599.0,-0.3071663,-19.89450591802597,-19.89450591802597,1.0
4000,1.4189702,599.0,-0.17125142,-21.287557184696198,-21.287557184696198,1.0
5000,1.4190205,599.0,-0.2707733,-10.207708686590195,-10.207708686590195,1.0
6000,1.4190203,545.0,-0.5402449,-7.012812286615372,-7.012812286615372,1.0
7000,1.4190203,599.0,-0.35819215,-25.803948879241943,-25.803948879241943,1.0
8000,1.4190716,599.0,-0.49344194,-12.140124887228012,-12.140124887228012,1.0
9000,1.4190866,599.0,-0.58996415,-16.32653695344925,-16.32653695344925,1.0
10000,1.4190866,599.0,-0.5928159,-6.127738356590271,-6.127738356590271,1.0
11000,1.4190031,599.0,-0.5405523,-13.82931263744831,-13.82931263744831,1.0
12000,1.4187047,599.0,-0.7507213,-10.72128863632679,-10.72128863632679,1.0
13000,1.4187049,599.0,-0.80743176,-14.106853723526001,-14.106853723526001,1.0
14000,1.4187047,403.3333333333333,-0.83175164,-11.181301037470499,-11.181301037470499,1.0
15000,1.4183599,599.0,-0.9906926,-14.864039927721024,-14.864039927721024,1.0
16000,1.4181461,599.0,-1.1939516,-21.40808093547821,-21.40808093547821,1.0
17000,1.418146,599.0,-1.2099154,-16.618770450353622,-16.618770450353622,1.0
18000,1.4181461,599.0,-1.1737154,-21.766117215156555,-21.766117215156555,1.0
19000,1.4177992,599.0,-1.4042952,-11.753190875053406,-11.753190875053406,1.0
20000,1.4177939,505.0,-1.4156576,-22.4355291724205,-22.4355291724205,1.0
21000,1.4177939,599.0,-1.1300666,-6.231374382972717,-6.231374382972717,1.0
22000,1.4176096,564.5,-1.099918,-5.329105690121651,-5.329105690121651,1.0
23000,1.4173164,599.0,-1.6271011,-26.86809653043747,-26.86809653043747,1.0
24000,1.4173163,599.0,-1.4029002,-10.7791817933321,-10.7791817933321,1.0
25000,1.4173164,599.0,-1.3849641,-16.743776440620422,-16.743776440620422,1.0
26000,1.4170552,599.0,-1.2446946,-9.755381032824516,-9.755381032824516,1.0
27000,1.4169676,599.0,-1.3069366,-18.370893001556396,-18.370893001556396,1.0
28000,1.4169675,599.0,-1.3485799,-8.839203894138336,-8.839203894138336,1.0
29000,1.4169552,491.5,-1.1359339,-10.737636685371399,-10.737636685371399,1.0
30000,1.416859,599.0,-1.0793103,-7.469712823629379,-7.469712823629379,1.0
31000,1.4168589,599.0,-1.2133279,0.5570161938667297,0.5570161938667297,1.0
32000,1.416859,599.0,-1.277554,-12.712392523884773,-12.712392523884773,1.0
33000,1.416784,599.0,-1.7544428,-17.476761251688004,-17.476761251688004,1.0
34000,1.4167206,507.5,-1.4884121,-3.1065837740898132,-3.1065837740898132,1.0
35000,1.4167205,329.0,-1.7314405,-5.223822832107544,-5.223822832107544,1.0
36000,1.4167204,599.0,-1.2444282,-9.235539749264717,-9.235539749264717,1.0
37000,1.4166367,599.0,-1.9644964,-22.763264656066895,-22.763264656066895,1.0
38000,1.4166352,599.0,-1.9551392,-22.64645341038704,-22.64645341038704,1.0
39000,1.4166352,461.5,-1.5255598,-0.47852134704589844,-0.47852134704589844,1.0
40000,1.416601,599.0,-2.2184134,-19.263325691223145,-19.263325691223145,1.0
41000,1.4165351,599.0,-1.9788918,-13.125658221542835,-13.125658221542835,1.0
42000,1.4165353,599.0,-2.1217027,-15.962264895439148,-15.962264895439148,1.0
43000,1.4165353,599.0,-2.256394,-23.68434914946556,-23.68434914946556,1.0
44000,1.4164962,599.0,-2.4254034,-18.836545825004578,-18.836545825004578,1.0
45000,1.4164828,599.0,-1.949326,-5.778093874454498,-5.778093874454498,1.0
46000,1.4164829,599.0,-1.8903537,-15.998988062143326,-15.998988062143326,1.0
47000,1.4164808,599.0,-1.9305941,-20.270205318927765,-20.270205318927765,1.0
48000,1.4164714,548.0,-1.4318471,10.02401340007782,10.02401340007782,1.0
49000,1.4164714,510.0,-1.9915199,-5.657478362321854,-5.657478362321854,1.0
50000,1.4164714,599.0,-2.3941453,-27.346522092819214,-27.346522092819214,1.0
