Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.4189385,-0.24251282,599.0,-15.57468318939209,-15.57468318939209,1.0
2000,1.4189383,-0.3373629,599.0,-18.845501214265823,-18.845501214265823,1.0
3000,1.4186491,-0.59946954,599.0,-17.33096933364868,-17.33096933364868,1.0
4000,1.4186548,-0.61910415,391.0,-8.364309231440226,-8.364309231440226,1.0
5000,1.4185269,-0.6740391,599.0,-17.530678391456604,-17.530678391456604,1.0
6000,1.4184896,-0.6680579,599.0,-16.354001879692078,-16.354001879692078,1.0
7000,1.4163066,-0.58588254,523.5,-8.848398372530937,-8.848398372530937,1.0
8000,1.4153848,-1.0299457,599.0,-22.227496325969696,-22.227496325969696,1.0
9000,1.4149345,-0.8466902,599.0,-18.01958680152893,-18.01958680152893,1.0
10000,1.4145788,-1.1217903,599.0,-13.207453340291977,-13.207453340291977,1.0
11000,1.4139289,-1.0964694,599.0,-10.257936149835587,-10.257936149835587,1.0
12000,1.4132802,-1.1416765,508.5,0.31444108486175537,0.31444108486175537,1.0
13000,1.41322,-1.2927134,599.0,-19.09096372127533,-19.09096372127533,1.0
14000,1.4131603,-0.89554095,599.0,-16.848554372787476,-16.848554372787476,1.0
15000,1.4130387,-1.1656278,599.0,-15.179116606712341,-15.179116606712341,1.0
16000,1.4128131,-0.6822041,386.0,-4.069626212120056,-4.069626212120056,1.0
17000,1.412414,-1.0822784,506.0,-7.623974546790123,-7.623974546790123,1.0
18000,1.4106978,-0.74547213,599.0,-2.087576687335968,-2.087576687335968,1.0
19000,1.4106249,-0.6803046,599.0,-8.472364127635956,-8.472364127635956,1.0
20000,1.4103228,-0.8649329,299.3333333333333,-0.802827836945653,-0.802827836945653,1.0
21000,1.4103487,-0.7557587,436.5,2.906508892774582,2.906508892774582,1.0
22000,1.4103241,-0.78678757,556.5,-3.268579751253128,-3.268579751253128,1.0
23000,1.4103241,-0.74207324,522.5,-0.3454378843307495,-0.3454378843307495,1.0
24000,1.4103576,-0.5742063,360.0,6.603719621896744,6.603719621896744,1.0
25000,1.4103553,-0.6505121,591.5,5.0846094116568565,5.0846094116568565,1.0
26000,1.408911,-0.50756633,467.5,10.012628123164177,10.012628123164177,1.0
27000,1.40843,-0.6582724,200.66666666666666,6.446567094326019,6.446567094326019,1.0
28000,1.4066255,-0.044500865,298.3333333333333,7.025871753692627,7.025871753692627,1.0
29000,1.40584,-0.6782309,178.8,6.786353194713593,6.786353194713593,1.0
30000,1.4052801,-0.6613958,378.3333333333333,3.02120033899943,3.02120033899943,1.0
31000,1.4050444,-0.31440836,205.4,7.847863441705703,7.847863441705703,1.0
32000,1.4053437,-0.045394115,266.75,8.792595227559408,8.792595227559408,1.0
33000,1.4055823,-0.02745015,309.3333333333333,11.515419721603394,11.515419721603394,1.0
34000,1.4049914,0.22087215,161.8,10.030029793580374,10.030029793580374,1.0
35000,1.4039676,0.48233405,241.6,11.349635615944862,11.349635615944862,1.0
36000,1.4039147,0.4116335,208.6,5.294089782238006,5.294089782238006,1.0
37000,1.4037325,0.3997572,192.6,9.624671220779419,9.624671220779419,1.0
38000,1.4036642,0.50869656,137.57142857142858,10.748368212154933,10.748368212154933,1.0
39000,1.4030703,0.21269408,188.0,8.233028749624888,8.233028749624888,1.0
40000,1.40307,0.4830406,204.2,9.59046812057495,9.59046812057495,1.0
41000,1.4030312,0.8758995,116.85714285714286,7.980409945760455,7.980409945760455,1.0
42000,1.4030312,0.18819952,198.33333333333334,8.006643199920655,8.006643199920655,1.0
43000,1.4026065,1.0540645,109.77777777777777,8.979976885848576,8.979976885848576,1.0
44000,1.4025365,1.1141852,114.33333333333333,7.684990101390415,7.684990101390415,1.0
45000,1.4020245,1.3143959,125.71428571428571,10.520376920700073,10.520376920700073,1.0
46000,1.4019233,1.4864964,118.77777777777777,9.140703208744526,9.140703208744526,1.0
47000,1.4017559,1.7671349,118.0,9.833596759372288,9.833596759372288,1.0
48000,1.4016693,1.7026345,110.375,9.924378842115402,9.924378842115402,1.0
49000,1.4016024,1.9264103,128.25,12.455160558223724,12.455160558223724,1.0
50000,1.4015452,1.7763261,143.5,10.718138694763184,10.718138694763184,1.0
