Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.4195186,0.16472071,599.0,-21.266501903533936,-21.266501903533936,1.0
2000,1.2990757,9.241344,599.0,-16.57508676685393,-16.57508676685393,1.0
3000,1.3376553,15.659379,400.3333333333333,-14.698817253112793,-14.698817253112793,1.0
4000,1.3061877,18.819307,599.0,-17.471930203338463,-17.471930203338463,1.0
5000,1.0770487,21.061768,599.0,-23.001912906765938,-23.001912906765938,1.0
6000,1.1037176,18.97305,599.0,-66.82287311553955,-66.82287311553955,1.0
7000,1.0085992,24.121904,599.0,-33.91281286254525,-33.91281286254525,1.0
8000,None,22.252464,None,-16.97465328872204,-16.97465328872204,1.0
9000,0.8202309,23.005882,469.3333333333333,-18.054372020065784,-18.054372020065784,1.0
10000,0.69977236,24.509346,599.0,-19.96108865737915,-19.96108865737915,1.0
11000,0.5926582,26.366577,320.5,-41.34475135803223,-41.34475135803223,1.0
12000,0.4479261,23.995678,354.5,-4.316961039602757,-4.316961039602757,1.0
13000,0.3672546,26.676533,599.0,-24.261186361312866,-24.261186361312866,1.0
14000,None,26.946985,None,-32.53885889053345,-32.53885889053345,1.0
15000,0.15130657,27.867773,599.0,-16.574160289019346,-16.574160289019346,1.0
16000,-0.22731851,26.488598,599.0,-18.161881372332573,-18.161881372332573,1.0
17000,-0.26016805,31.46283,279.0,-13.547348141670227,-13.547348141670227,1.0
18000,-0.33901143,28.842628,220.66666666666666,-0.24713395039240518,-0.24713395039240518,1.0
19000,-0.5102153,30.580915,206.28571428571428,-26.149327615896862,-26.149327615896862,1.0
20000,-0.4195746,29.599083,311.0,1.119925570487976,1.119925570487976,1.0
21000,-0.5305648,28.416975,None,4.190387852489948,4.190387852489948,1.0
22000,-0.5432639,27.207487,207.4,7.088739746809006,7.088739746809006,1.0
23000,-0.5443049,25.901207,144.66666666666666,4.617282394851957,4.617282394851957,1.0
24000,-0.6561286,25.575489,154.42857142857142,5.002829734236002,5.002829734236002,1.0
25000,-0.69941705,26.56266,135.5,7.238713597257932,7.238713597257932,1.0
26000,-0.8084496,25.312038,132.4,5.556793693985258,5.556793693985258,1.0
27000,-0.79968685,25.259132,65.61538461538461,6.937532952198615,6.937532952198615,1.0
28000,-0.8627752,24.173656,83.81818181818181,6.500327269945826,6.500327269945826,1.0
29000,-1.0122032,22.489399,84.54545454545455,6.358042855154384,6.358042855154384,1.0
30000,-0.96730524,23.041927,85.36363636363636,5.637003473260186,5.637003473260186,1.0
31000,-0.94823813,21.40989,143.57142857142858,5.237422308751515,5.237422308751515,1.0
32000,-0.9504391,20.75882,100.0,7.587582641177708,7.587582641177708,1.0
33000,-0.7387089,18.55629,261.6,-17.897297501564026,-17.897297501564026,1.0
34000,-0.96883583,19.795664,87.9090909090909,4.551356612489774,4.551356612489774,1.0
35000,-1.0540649,19.966663,74.3076923076923,6.313049333790938,6.313049333790938,1.0
36000,-1.0096143,19.665838,135.75,6.853734982013703,6.853734982013703,1.0
37000,-1.0797306,19.308521,62.857142857142854,7.011367256442706,7.011367256442706,1.0
38000,-1.0404845,18.858902,114.0,6.935937772194545,6.935937772194545,1.0
39000,-1.0334265,18.994797,293.2,6.959645425279935,6.959645425279935,1.0
40000,-1.0712548,19.621887,195.25,6.200269386172295,6.200269386172295,1.0
41000,-1.0875523,18.264437,222.66666666666666,5.530931979417801,5.530931979417801,1.0
42000,-0.9045051,17.925817,403.5,5.859424483776093,5.859424483776093,1.0
43000,-1.0195787,16.70302,145.375,-43.29203362762928,-43.29203362762928,1.0
44000,-1.0448222,17.069525,135.375,7.230160233047274,7.230160233047274,1.0
45000,-0.9780015,16.342552,124.42857142857143,6.096058540046215,6.096058540046215,1.0
46000,-1.0021721,14.435206,132.11111111111111,6.026741442084313,6.026741442084313,1.0
47000,-1.1066041,14.196371,79.23076923076923,7.00718804821372,7.00718804821372,1.0
48000,-1.0838513,14.1773405,87.7,7.325150457876069,7.325150457876069,1.0
49000,-1.0582494,13.228689,77.8,5.862667194008827,5.862667194008827,1.0
50000,-1.0663319,12.237165,195.16666666666666,5.718580236037572,5.718580236037572,1.0
