Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.3108999,3.5858252,0.22937962,-2.7390373,0.015800796,0.014310875,0.89812815,0.00029999999,470.5,-6.63788115978241,-6.63788115978241,1.0
2000,1.372736,8.879462,None,None,None,None,None,None,None,-23.327267423272133,-23.327267423272133,1.0
3000,1.364219,14.736829,0.32556966,-9.944028,0.033400256,0.03288896,0.69226676,0.00029999996,599.0,-22.709531128406525,-22.709531128406525,1.0
4000,1.3503816,19.04067,0.23921348,-17.115345,0.027364887,0.026134366,0.4839802,0.00029999996,476.6666666666667,-30.782457649707794,-30.782457649707794,1.0
5000,1.2619256,22.033276,0.3254669,-21.032484,0.050377596,0.052363813,0.3399711,0.00029999996,292.25,-0.37917523086071014,-0.37917523086071014,1.0
6000,1.1501491,23.580288,0.37174216,-22.672428,0.08371755,0.081696436,0.24133551,0.00029999996,377.5,-2.898992110043764,-2.898992110043764,1.0
7000,1.1795264,23.70406,0.23725165,-23.019304,0.04956669,0.048248287,0.17167498,0.00029999999,427.6666666666667,-11.212676793336868,-11.212676793336868,1.0
8000,1.1334238,22.666487,None,None,None,None,None,None,None,-9.615285123387972,-9.615285123387972,1.0
9000,1.1188214,21.903692,0.14777496,-22.570566,0.031360697,0.030904718,0.12167744,0.00029999996,178.33333333333334,5.636879573265712,5.636879573265712,1.0
10000,0.9844466,20.988846,0.3689125,-21.348652,0.13122356,0.13344467,0.077787414,0.0003,87.0,7.432312548160553,7.432312548160553,1.0
11000,0.84162444,20.09426,0.4087302,-20.03668,0.1654405,0.16326338,0.05104057,0.00029999996,63.06666666666667,6.888881268826398,6.888881268826398,1.0
12000,0.76114357,19.030264,0.42531303,-19.265629,0.17348653,0.1686766,0.039582167,0.00029999993,107.11111111111111,7.85344918568929,7.85344918568929,1.0
13000,0.68266976,18.464798,0.38586384,-18.49695,0.16315553,0.15931469,0.030639574,0.00029999996,69.07692307692308,9.14326139986515,9.14326139986515,1.0
14000,0.41427314,17.916496,0.35693195,-17.75015,0.1513493,0.14705345,0.023269456,0.00029999999,71.16666666666667,8.460893559455872,8.460893559455872,1.0
15000,0.33095837,17.180622,0.34963605,-17.13837,0.14886177,0.14609236,0.018121982,0.00029999996,98.7,7.705096423625946,7.705096423625946,1.0
16000,0.19319975,16.237759,0.33590043,-16.552166,0.14142153,0.14118358,0.014197822,0.00029999999,141.85714285714286,6.829263124614954,6.829263124614954,1.0
17000,0.060333543,15.411976,0.2890908,-15.964457,0.12169234,0.12209203,0.011006672,0.00029999996,54.125,7.115167774260044,7.115167774260044,1.0
18000,-0.15938361,15.724999,0.2820706,-15.494788,0.12016859,0.11802995,0.008498742,0.00029999999,63.5,8.848589728860293,8.848589728860293,1.0
19000,-0.21642023,15.007247,0.26050496,-15.103862,0.11247356,0.11041431,0.0068174014,0.00029999996,61.61538461538461,9.146339925130208,9.146339925130208,1.0
20000,-0.34003836,14.128184,0.24606487,-14.486694,0.10445262,0.10150161,0.0048991046,0.00029999996,56.4,8.285469092428684,8.285469092428684,1.0
21000,-0.53543675,13.776418,0.26673043,-13.944782,0.11592045,0.11076629,0.0035332195,0.00029999996,57.07692307692308,8.521782749577573,8.521782749577573,1.0
22000,-0.61021304,13.710147,0.25444007,-13.657337,0.109822236,0.10636073,0.0028817293,0.00029999999,101.4,9.400221268335978,9.400221268335978,1.0
23000,-0.8564634,13.146432,0.22557728,-13.370899,0.096431255,0.092839465,0.002331501,0.00029999999,53.13333333333333,9.826280144127933,9.826280144127933,1.0
24000,-1.0197875,13.469397,0.21235889,-13.102855,0.09052087,0.08784141,0.0018700775,0.00029999996,44.53333333333333,8.484200550162274,8.484200550162274,1.0
25000,-0.99366695,12.739992,0.23279738,-12.804173,0.09916082,0.09625517,0.0014641789,0.00029999999,56.357142857142854,7.820799545237892,7.820799545237892,1.0
26000,-1.0487554,12.792939,0.2148996,-12.542702,0.09009974,0.088628374,0.0012395683,0.00029999999,73.81818181818181,8.798553270452162,8.798553270452162,1.0
27000,-1.2285644,12.495101,0.20862994,-12.316344,0.08860582,0.08599299,0.0011356046,0.00029999996,84.4,10.076771525293589,10.076771525293589,1.0
28000,-1.0306643,12.572843,0.18431515,-12.125994,0.076886766,0.075184256,0.0011103499,0.00029999999,89.1,10.290055314699808,10.290055314699808,1.0
29000,-1.1619493,12.275667,0.19424467,-11.9168,0.08152398,0.079030916,0.0011219716,0.00029999999,66.57142857142857,8.815795476620014,8.815795476620014,1.0
30000,-1.2194583,12.026375,0.17204629,-11.723831,0.07072202,0.068896756,0.0011439376,0.00029999999,74.08333333333333,9.595697266714913,9.595697266714913,1.0
31000,-1.2973552,11.9159155,0.16449872,-11.473699,0.06693934,0.06613819,0.0011256052,0.00029999999,58.42857142857143,9.437007623560289,9.437007623560289,1.0
32000,-1.2041533,11.539748,0.1704014,-11.17711,0.06911218,0.06912852,0.0011221833,0.00029999996,44.294117647058826,9.93629295685712,9.93629295685712,1.0
33000,-1.372914,11.025189,0.15822326,-10.988135,0.06371812,0.06387553,0.0011114101,0.00029999999,55.333333333333336,9.137103128433228,9.137103128433228,1.0
34000,-1.3040068,11.309244,0.15289974,-10.829958,0.062547095,0.06136565,0.001108047,0.00029999996,46.705882352941174,10.16167254447937,10.16167254447937,1.0
35000,-1.4057431,10.693771,0.15684618,-10.656797,0.06426284,0.06360543,0.0010708207,0.00029999996,50.125,9.392879855632781,9.392879855632781,1.0
36000,-1.205419,10.669225,0.15087096,-10.474922,0.06199428,0.059593055,0.0011245195,0.00029999999,41.705882352941174,9.681368373689198,9.681368373689198,1.0
37000,-1.252403,10.147483,0.14215644,-10.257368,0.05760498,0.05692235,0.0011635592,0.00029999996,56.333333333333336,8.635858017465342,8.635858017465342,1.0
38000,-1.1152091,10.333734,0.14042099,-10.071755,0.057241708,0.056360006,0.0011618995,0.00029999996,41.72727272727273,9.502878416152228,9.502878416152228,1.0
39000,-1.1330659,10.184028,0.13496122,-9.894561,0.05577718,0.053314567,0.0010747991,0.00029999996,43.9375,8.876405199368795,8.876405199368795,1.0
40000,-1.2445322,9.985639,0.13256252,-9.789155,0.055507984,0.052303243,0.0010214788,0.00029999996,51.92857142857143,9.571032228923979,9.571032228923979,1.0
41000,-1.2438262,9.723669,0.1378285,-9.69253,0.056721788,0.055457022,0.0009930752,0.00029999996,45.05555555555556,10.541681289672852,10.541681289672852,1.0
42000,-1.2397658,9.472466,0.13206403,-9.540976,0.0543388,0.05293355,0.0009387786,0.00029999996,42.371428571428574,9.867933386848087,9.867933386848087,1.0
43000,-1.136493,9.610636,0.13093613,-9.372829,0.05319223,0.05230116,0.0008780505,0.00029999999,49.13333333333333,9.25751401901245,9.25751401901245,1.0
44000,-1.2585315,9.6159525,0.12013117,-9.278014,0.048674252,0.047003258,0.00084709254,0.00029999996,57.06666666666667,12.284706205129623,12.284706205129623,1.0
45000,-1.3068557,9.562597,0.11912047,-9.182347,0.047999375,0.046728373,0.0008144827,0.00029999999,55.266666666666666,10.875756422678629,10.875756422678629,1.0
46000,-1.242031,9.29571,0.110672034,-9.066869,0.044279225,0.043205105,0.0008197064,0.00029999999,50.65625,9.869585871696472,9.869585871696472,1.0
47000,-1.2730676,9.287833,0.10937476,-8.959078,0.04471804,0.042551607,0.0007978196,0.00029999996,45.23529411764706,10.488250766481672,10.488250766481672,1.0
48000,-1.3380706,9.17212,0.10961597,-8.903767,0.044437326,0.042876117,0.00075631565,0.00029999999,47.333333333333336,10.18867946806408,10.18867946806408,1.0
49000,-1.3173325,9.17369,0.10731201,-8.856975,0.042958997,0.04192022,0.0007527441,0.00029999996,58.4,10.85961663722992,10.85961663722992,1.0
50000,-1.3596971,9.216643,0.106442325,-8.802683,0.042921826,0.041168623,0.00077920314,0.00029999999,48.09090909090909,10.518750058977227,10.518750058977227,1.0
