Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Is Training
1000,1.3139783,2.9765303,347.0,-9.27240401506424,-9.27240401506424,0.24176082,-1.2320051,0.019385003,0.022498244,0.95912725,0.00029999996,1.0
2000,1.3547351,8.745352,599.0,-8.811263605952263,-8.811263605952263,0.25935018,-7.1016192,0.015471208,0.0154203065,0.7769882,0.00029999999,1.0
3000,1.3257148,14.662078,539.5,-20.509945586323738,-20.509945586323738,0.33245936,-15.233435,0.018637018,0.018112523,0.5511563,0.00029999996,1.0
4000,None,18.764969,None,-14.280568733811378,-14.280568733811378,None,None,None,None,None,None,1.0
5000,1.2292892,20.503334,432.3333333333333,-12.559898932774862,-12.559898932774862,0.36363995,-19.715431,0.03191443,0.03192733,0.3877861,0.00029999999,1.0
6000,1.1347913,21.508907,403.0,2.7832146883010864,2.7832146883010864,0.3222327,-21.682037,0.035136648,0.035466947,0.2742624,0.00029999996,1.0
7000,1.0787878,22.694317,546.0,-19.8432480096817,-19.8432480096817,0.2463506,-22.258457,0.03322942,0.0319164,0.19655733,0.00029999993,1.0
8000,0.7677694,21.825153,599.0,-11.072003811597824,-11.072003811597824,0.19587201,-22.149748,0.030508425,0.031140564,0.14134558,0.00029999996,1.0
9000,0.6060452,21.358997,599.0,-19.808530882000923,-19.808530882000923,0.13213415,-21.843035,0.021057269,0.0215681,0.10073988,0.00029999996,1.0
10000,0.7254257,21.868416,None,-43.979503095149994,-43.979503095149994,None,None,None,None,None,None,1.0
11000,0.7136645,21.93448,398.6666666666667,-4.9904970328013105,-4.9904970328013105,0.13246737,-21.598284,0.02569871,0.026483435,0.07216088,0.00029999996,1.0
12000,0.5975971,23.607304,407.6666666666667,-5.2916279733181,-5.2916279733181,0.14417337,-21.403093,0.037164003,0.036317408,0.05201132,0.00029999996,1.0
13000,0.6018666,21.591637,272.3333333333333,3.85354614444077,3.85354614444077,0.13331549,-21.300129,0.0361661,0.035329185,0.037607506,0.00029999996,1.0
14000,0.35255632,21.198116,327.3333333333333,4.30984632174174,4.30984632174174,0.16455062,-21.328848,0.051091835,0.050688315,0.027599262,0.00029999996,1.0
15000,0.33255693,22.136911,315.0,-12.045589059591293,-12.045589059591293,0.13519584,-21.512989,0.0418794,0.041624077,0.02054954,0.00029999996,1.0
16000,0.062133033,21.259335,128.8,-11.44028115272522,-11.44028115272522,0.118310295,-21.35307,0.035830177,0.0349798,0.015130997,0.00029999996,1.0
17000,-0.01282944,21.01355,75.18181818181819,7.153799761425365,7.153799761425365,0.18445687,-21.286348,0.06157564,0.061654966,0.011596318,0.00029999999,1.0
18000,-0.14789388,20.619944,81.41666666666667,6.442690432071686,6.442690432071686,0.21239859,-21.125572,0.07711044,0.07434497,0.009168226,0.00029999999,1.0
19000,-0.32004276,20.652464,107.1,7.3761938741573925,7.3761938741573925,0.24785008,-20.830572,0.09453783,0.093644395,0.0072289123,0.00029999999,1.0
