Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
1000,1.4189383,-0.32194358,-4.498127470607869,437.0,-4.49812725186348
2000,1.4189385,-0.24207027,-4.567767365428153,595.0,-7.401348322629929
3000,1.4202539,-0.26214278,7.122987953945994,480.0,2.6944014132022858
4000,1.4202538,-0.23844132,-11.647538627439644,595.0,-11.647538781166077
5000,1.421366,-0.3427075,-11.416995911975391,595.0,-11.41699594259262
6000,1.4215167,-0.15448482,4.465389904100448,287.5,4.465389788150787
7000,1.4209503,-0.33801413,-4.122122105618473,595.0,-4.12212210893631
8000,1.4207816,-0.48125935,-6.2616176193987485,595.0,-6.261617600917816
9000,1.4211366,-0.25106126,0.3793691801838577,344.3333333333333,0.379369060198466
10000,1.4212824,-0.05833628,-7.5445612946059555,595.0,-7.5445612370967865
11000,1.4213544,0.08502814,-1.0314941418279584,473.0,1.5818102322518826
12000,1.4214228,-0.057343207,-1.2675851883832365,595.0,-3.762843981385231
13000,1.421086,-0.28531188,-0.5174690955415523,466.3333333333333,2.640791639685631
14000,1.4204139,-0.0784069,-5.55070678962511,595.0,-6.192349165678024
15000,1.4198356,-0.46894735,-1.8671608043368906,595.0,-1.8671606313437223
16000,1.4186136,-0.2164482,0.22932328877504915,365.6666666666667,0.229323277870814
17000,1.4184543,-0.38292408,1.5764143907096393,354.3333333333333,0.18980278074741364
18000,1.417921,0.20681694,2.839201022638008,231.25,3.1412883520126345
19000,1.4174821,0.3793226,4.113743212132249,288.25,3.235071897506714
20000,1.4160774,0.34566826,4.56673855127301,174.6,4.930574953556061
21000,1.4158372,0.30914047,4.513293467874367,143.33333333333334,4.513293534517288
22000,1.4141916,0.032624394,2.0491461398778483,346.0,2.0491462548573813
23000,1.4141915,0.4901538,4.999632717309786,147.85714285714286,4.9996325969696045
24000,1.4131998,0.6683261,4.693153139931383,119.125,4.693153224885464
25000,1.4131997,0.51751226,6.530169962046784,138.875,6.654532875333514
26000,1.4119569,0.65871173,4.671100768629306,105.33333333333333,5.002150641547309
27000,1.4118042,0.606927,4.667717787437141,78.9090909090909,4.50208954513073
28000,1.4105256,0.84627277,4.6017600865082136,101.45454545454545,4.657491254806518
29000,1.4101144,0.96300286,4.8423287443486815,75.66666666666667,4.780953498987051
30000,1.4092574,1.0054199,5.800105975260242,85.76923076923077,5.860095103581746
31000,1.4089342,1.3371758,6.303800777383995,84.27272727272727,6.278561212799766
32000,1.4074678,1.1655767,4.956312551906404,75.6923076923077,5.042210698127747
33000,1.406538,1.0810983,5.631536716938717,107.8,5.516032767295838
34000,1.4060224,1.5432703,4.9074651521475365,61.6,4.800784993171692
35000,1.4056264,1.4817953,3.7127384941672466,53.27777777777778,3.7059910363621182
36000,1.4050933,1.6547736,4.867146796749071,51.31578947368421,4.999875438840766
37000,1.4044019,1.7475471,6.801412473457666,73.21428571428571,6.596473557608468
38000,1.4041494,1.6852379,6.0345607716423855,68.28571428571429,6.224480560847691
39000,1.4037724,1.8401147,5.060238027999945,57.0,4.759936465936549
40000,1.4035765,1.9313554,5.185024652810841,52.21052631578947,5.440369380147834
41000,1.4031402,2.0295143,5.374284583749249,50.0,5.3197560667991635
42000,1.4030001,1.9890941,4.782362473750254,48.95,4.750024926662445
43000,1.4025872,2.1074839,5.244887717558365,50.73684210526316,5.3541116212543685
44000,1.4024135,2.0577712,4.498168416711269,51.4,4.491436040401458
45000,1.4017888,2.3213165,5.422835233298094,48.73684210526316,5.433212242628398
