Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.4189385,-0.30739528,496.0,-13.435964703559875,-13.435964703559875,1.0
2000,1.4189384,-0.19356893,599.0,-17.43835872411728,-17.43835872411728,1.0
3000,1.4196364,-0.36706132,599.0,-15.05461572110653,-15.05461572110653,1.0
4000,1.4196508,-0.39095083,599.0,-14.957962691783905,-14.957962691783905,1.0
5000,1.4191294,-0.4069519,599.0,-15.5545135140419,-15.5545135140419,1.0
6000,1.4190406,-0.45197165,599.0,-12.13922506570816,-12.13922506570816,1.0
7000,1.4193006,-0.50969243,401.3333333333333,-21.527828335762024,-21.527828335762024,1.0
8000,1.4194002,-0.54234815,599.0,-6.445757627487183,-6.445757627487183,1.0
9000,1.4189022,-0.6301958,599.0,-6.0648782551288605,-6.0648782551288605,1.0
10000,1.4185926,-0.7173725,599.0,-17.97320783138275,-17.97320783138275,1.0
11000,1.4187956,-0.7909758,599.0,-17.325336784124374,-17.325336784124374,1.0
12000,1.4189816,-0.88640654,428.6666666666667,-11.880779465039572,-11.880779465039572,1.0
13000,1.4186832,-0.93006384,599.0,-19.138172149658203,-19.138172149658203,1.0
14000,1.4181612,-1.0519786,599.0,-18.370038837194443,-18.370038837194443,1.0
15000,1.4183782,-1.0821089,599.0,-18.00363063812256,-18.00363063812256,1.0
16000,1.418794,-1.1810558,599.0,-27.047935962677002,-27.047935962677002,1.0
17000,1.41909,-1.2129666,599.0,-6.297660142183304,-6.297660142183304,1.0
18000,1.4201367,-1.3650343,599.0,-21.685230642557144,-21.685230642557144,1.0
19000,1.4201524,-1.356148,599.0,-11.877673268318176,-11.877673268318176,1.0
20000,1.4202735,-1.5396713,599.0,-23.311696767807007,-23.311696767807007,1.0
21000,1.4202734,-1.5566164,599.0,-19.095884680747986,-19.095884680747986,1.0
22000,1.4183477,-1.6835842,599.0,-12.589381635189056,-12.589381635189056,1.0
23000,1.4183047,-1.6747894,461.3333333333333,-15.177232652902603,-15.177232652902603,1.0
24000,1.4190273,-1.7709908,599.0,-19.461496472358704,-19.461496472358704,1.0
25000,1.4191477,-1.7823694,599.0,-10.985578678548336,-10.985578678548336,1.0
26000,1.4184445,-1.8606478,599.0,-21.14294946193695,-21.14294946193695,1.0
27000,1.4183142,-1.8982133,599.0,-13.05192431807518,-13.05192431807518,1.0
28000,1.4192481,-1.9514856,599.0,-14.422337651252747,-14.422337651252747,1.0
29000,1.4196117,-1.9781014,599.0,-15.422419369220734,-15.422419369220734,1.0
30000,1.4199578,-2.0554767,599.0,-17.087426647543907,-17.087426647543907,1.0
31000,1.4201591,-2.101416,599.0,-25.33303952217102,-25.33303952217102,1.0
